symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ADOR,29,1012.3,804.954563,47.52,-4.95,5.96,12.04,1739.69,53.73,32,21,37,90.36653320398923
ANTELOPUS,29,593.3,629.38125,57.5,55.97,5.11,6.78,2093.75,69.94,26,22,43,90.2957795374819
EDELWEISS,29,109.41,6964.491659,62.78,4.19,-5.91,17.95,10346.89,32.69,22,37,30,90.04481621551666
INGERRAND,29,3876.2,3064.3675,57.47,6.54,1.85,11.74,12257.47,75,26,26,37,89.65746457198597
KICL,29,4856,529.246835,41.01,-2.98,2.41,19.59,2114.45,74.97,37,26,29,91.21277482354648
MARINE,29,191.75,834.2562799999998,35.62,-7.42,9.7,18.85,2651.8,68.54,42,18,30,89.76609263015666
RADICO,29,2766.9,22169.21746,40.62,-13.59,-0.73,25.24,37072.27,40.2,37,29,25,91.01029068357875
SUNTV,29,600.05,5912.755,56.75,9.38,7.86,6.29,23651.02,75,26,19,43,88.70007570345263
UNIVCABLES,29,678.35,898.6680990000001,45.13,-25.23,-4.17,32.61,2358.09,61.89,34,35,20,89.42570098447266
VISHNU,29,486.65,1004.2774300000002,57.94,-2.08,1.36,12.89,3261.7,69.21,26,27,36,89.13963418407181
YATHARTH,29,647.35,2755.9186200000004,59.4,-5.76,-17.16,67.66,6235.11,55.8,24,58,9,90.56910878999324
ASHAPURMIN,30,521.75,2601.246656,35.32,-23.22,-7.19,61.38,4990.88,47.88,42,39,11,91.67103057706353
CEIGALL,30,277.8,872.03649,64.41,19.27,1.35,5.71,4860.85,82.06,21,27,43,91.75977649702783
HIRECT,30,1456.8,1401.295833,50.23,-3.74,-13.19,58.44,2499.19,43.93,30,51,11,92.52195856015648
ICICIPRULI,30,614.05,24118.534680000004,51.13,-1.92,2.9,11.62,88932.65,72.88,30,25,38,92.48354040872911
IDFCFIRSTB,30,69.98,60168.6,50.72,-13.47,-3.61,21.14,60168.6,0,30,34,28,91.79816416644312
IRBINVIT,30,60.8,3957.631258,63.72,-0.28,-3.45,12.45,4810.54,17.73,22,34,37,92.06024555649438
KPIL,30,1133.9,12858.888315,64.32,-2.7,-10.31,23.65,19357.05,33.57,21,45,26,91.62167921620409
MANAPPURAM,30,262.75,14400.445325,52.39,-6.06,-7.64,29.09,22240.07,35.25,29,40,22,91.43471730342355
MSPL,30,31.32,1101.562527,43.87,-14.31,0.9,20.42,1769.01,37.73,35,28,28,91.34876982882697
NOVARTIND,30,930.45,673.5830199999998,52.26,18.63,-0.21,15.63,2297.35,70.68,29,29,34,91.56086170234639
TRIVENI,30,390.55,3345.9337840000003,52.42,11.43,6.97,6.66,8574.92,60.98,29,20,43,92.64440283612825
