symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
NHIT,17,155,26697.835374000002,100,6.53,12.32,17.34,30021.18,11.07,1,23,36,60.26915794525189
RPTECH,17,368.5,874.5836100000001,74.62,12.61,30.33,32.03,2428.05,63.98,21,11,25,57.15174302543922
TIMKEN,17,3358.2,12357.510715,84.19,6.46,16.27,32.22,25245.17,51.05,13,19,25,56.38336763249062
UNIPARTS,17,465.95,718.568082,71.78,-6.11,17.89,40.07,2106.62,65.89,23,17,20,60.063480454673325
ZFCVINDIA,17,15506,11783.903999999999,81.43,17.43,10.17,42.12,29459.76,60,15,25,19,58.93186666124968
ABB,18,6133,32501.1275,90.24,18.51,22.68,15.68,130004.51,75,9,14,38,61.42555095280584
AJANTPHARM,18,2978.9,12555.361125000001,92.72,16.33,20.23,15.22,37201.07,66.25,7,15,39,61.11960037230648
CARYSIL,18,911.15,1530.788305,72.74,-10.04,5.98,72.55,2609.15,41.33,22,30,10,61.73074986398961
GPPL,18,178.92,4842.972629,73.13,0.11,19.99,33.87,8649.71,44.01,22,15,24,60.62756610593628
IIFL,18,505.05,16139.90538,57,-12.73,18.11,61.62,21476.92,24.85,33,17,12,61.73669702322822
KRT,18,123,11714.863168,75.5,3.28,14.8,NA,54640.22,78.56,20,20,20,60.76294084243048
MINDSPACE,18,479.78,13503.891464999999,79.9,3.7,13.43,33.65,37985.63,64.45,16,21,24,60.986970220063434
NTPC,18,381.9,181084.36752,91.89,16.99,16.59,19.83,370315.68,51.1,8,19,34,61.04293077414882
POCL,18,1164.5,2158.6467599999996,61.99,-9.52,10.9,83.86,3558.6,39.34,29,24,8,60.695696848194075
SENORES,18,774.55,1937.88859,76.63,-5.97,12.23,41.17,3576.1,45.81,19,23,20,61.0740523031347
TORNTPOWER,18,1565.1,38564.713312,83.43,19.06,27.52,18.34,78848.32,51.09,13,12,35,60.43111092918693
VOLTAS,18,1544.5,35623.79546,94.44,12.22,12.41,20.88,51110.18,30.3,6,22,33,61.25495024356627
AIAENG,19,3921.3,15195.519649999998,76.37,1.52,28.3,21.63,36615.71,58.5,19,12,32,62.868351810686974
AQYLON,19,1264.3,1308.69144,45.44,-5.99,15.88,168.06,3201.3,59.12,41,19,2,62.36569168881067
AUTOAXLES,19,2030.2,888.9706399999999,84.2,13.37,17.26,21.44,3069.65,71.04,13,18,32,62.51306894115339
AVALON,19,1024.5,3816.125268,56.79,5.76,23.33,47.05,6867.24,44.43,33,14,17,63.33726577728142
BANCOINDIA,19,631.25,2901.7786160000005,57.65,-7.02,9.49,96.44,9034.18,67.88,32,26,6,63.150206634985395
CENTUM,19,2679.2,2098.48232,80.76,13.32,-2.7,112.68,3951.2,46.89,16,43,4,62.45547467396454
FORTIS,19,963.65,50072.193729,75.79,4.85,5.72,58.4,72747.63,31.17,20,30,13,63.32327941894773
GOODLUCK,19,1195.2,1733.9127649999998,79.37,1.92,0.34,80.07,3981.43,56.45,17,38,9,63.276488424072596
IZMO,19,772,761.3670480000001,47.14,-14,14.99,173.86,1167.92,34.81,41,20,2,62.14923444708609
OIL,19,473.45,33380.437662,74.9,14.58,21.3,27.13,77019.93,56.66,21,14,28,63.09185330611395
RGL,19,145.8,599.0886,95.47,21.51,31.22,8.78,1564.2,61.7,5,10,47,62.255883117513896
STEELCAS,19,230.99,1279.718,78.18,4.9,10.15,40.49,2326.76,45,18,25,20,62.28208872245541
ALKEM,20,5752,33604.324160000004,87.41,1.18,8.46,26.04,68861.32,51.2,11,27,28,65.87145822380971
ASAHIINDIA,20,938.8,11584.945142999999,72.82,-8.02,12.26,38.55,23921.01,51.57,22,23,21,65.31495008472203
BIRET,20,359.63,20831.249087999997,85.72,8.17,12.56,23.31,27819.51,25.12,12,22,31,64.32909763942173
CEATLTD,20,3702.9,7911.457813999999,65.26,-3.75,18.22,37.02,14986.66,47.21,27,16,21,65.1090874489522
EMCURE,20,1454.5,6101.763267999999,81.18,2.84,4.38,47.26,27572.36,77.87,15,32,17,64.53740546857985
ENGINERSIN,20,224.65,6146.473104000001,72.82,14.13,13.27,35.53,12626.28,51.32,22,22,22,65.93654230282007
FIEMIND,20,2210.6,2646.4812,75.37,-2.41,5.23,56.61,5819,54.52,20,31,14,64.96332878896227
EBGNG,20,375.15,909.3597700000003,83.68,13.07,9.76,NA,4271.3,78.71,13,25,25,63.730095822793345
INDIAGLYCO,20,925.15,2505.9031579999996,58.67,-15.17,13.33,64.46,6207.34,59.63,31,22,12,64.57666901776521
NESTLEIND,20,1318,94703.39054400001,92.15,4.51,13.99,17.13,254305.56,62.76,8,21,37,65.5761166979824
NORTHARC,20,254,4106.33,75.76,-5.73,7.56,50.91,4106.33,0,20,28,16,63.71535510701062
RAMCOCEM,20,1140.2,15427.947456,82.57,9.9,8.92,34.09,26859.24,42.56,14,26,23,63.772960126733274
ABINFRA,21,18.96,833.1089649999999,72.41,0.69,-3.02,156.91,1206.53,30.95,22,43,2,67.69800794037964
AETHER,21,961.4,3190.8981779999995,65.75,9.6,30.61,24.92,12753.39,74.98,27,11,29,66.23493385206163
AZAD,21,1731.3,4940.108544,78.24,3.02,13.16,27.75,11186.84,55.84,18,22,28,66.94277684796194
BRITANNIA,21,6137,73174.067715,89.08,4.98,5.37,27.91,147975.87,50.55,10,31,27,67.61413481661278
HONASA,21,307.4,6451.4965600000005,81.41,6.04,4.93,38.24,10010.08,35.55,15,31,21,67.12272083703587
KINGFA,21,4377.7,1953.6527500000002,75.97,-2.77,4.87,49.96,5923.75,67.02,20,31,16,67.36499356833525
KIMS,21,743.3,19608.014019,83.01,8.5,2.68,44.16,29758.71,34.11,14,35,18,66.78560336529871
POONAWALLA,21,464.2,13610.396309999998,64.97,-3.35,7.57,68.07,37754.22,63.95,28,28,11,65.95580681118031
SAMMAANCAP,21,153.67,12701.15,58.8,-0.06,23.97,35.21,12701.15,0,31,13,22,66.85027313574126
